index,Lobbying score,Highest paying industry info,Most loyal industry,Name
S001217,0.8548111018395942,"{'industry': 'Retired', 'donations': 4085327, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Rick Scott
J000305,0.8559861241099779,"{'industry': 'Retired', 'donations': 103428, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Sara Jacobs
S001189,0.8562365935934065,"{'industry': 'Crop Production &amp; Basic Processing', 'donations': 127250, 'score:': 1.0}","{'industry': 'Crop Production &amp; Basic Processing', 'score': 1.0}",Austin Scott
K000377,0.8565864418619867,"{'industry': 'Retired', 'donations': 17741494, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Mark Kelly
W000823,0.8643614602404834,"{'industry': 'Retired', 'donations': 273247, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Michael Waltz
C001121,0.8659782785417072,"{'industry': 'Retired', 'donations': 452773, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Jason Crow
F000469,0.8674253611346288,"{'industry': 'Leadership PACs', 'donations': 101000, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Russ Fulcher
P000613,0.86815472205135,"{'industry': 'Retired', 'donations': 184481, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Jimmy Panetta
T000278,0.8759365603899685,"{'industry': 'Retired', 'donations': 1062151, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Tommy Tuberville
H001091,0.8839543142661401,"{'industry': 'Retired', 'donations': 886816, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Ashley Hinson
K000401,0.88752491892354,"{'industry': 'Retired', 'donations': 648399, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Kevin Kiley
K000397,0.8935609007155084,"{'industry': 'Retired', 'donations': 1524671, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Young Kim
S001150,0.8956578986272915,"{'industry': 'Retired', 'donations': 3617485, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Adam B. Schiff
L000596,0.8959106430428603,"{'industry': 'Retired', 'donations': 591594, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Anna Paulina Luna
G000565,0.898145275167218,"{'industry': 'Republican/Conservative', 'donations': 132591, 'score:': 1.0}","{'industry': 'Republican/Conservative', 'score': 1.0}",Paul A. Gosar
F000462,0.8988748018705028,"{'industry': 'Retired', 'donations': 163428, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Lois Frankel
P000197,0.9005027926785438,"{'industry': 'Retired', 'donations': 5711313, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Nancy Pelosi
D000633,0.9042094364608594,"{'industry': 'Crop Production &amp; Basic Processing', 'donations': 435619, 'score:': 1.0}","{'industry': 'Crop Production &amp; Basic Processing', 'score': 1.0}",John S. Duarte
E000295,0.9075035816869913,"{'industry': 'Retired', 'donations': 7827328, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Joni Ernst
L000578,0.9089987633869497,"{'industry': 'Crop Production &amp; Basic Processing', 'donations': 164645, 'score:': 1.0}","{'industry': 'Crop Production &amp; Basic Processing', 'score': 1.0}",Doug LaMalfa
B000825,0.914914119227248,"{'industry': 'Retired', 'donations': 1248414, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Lauren Boebert
M001165,0.9257844106195997,"{'industry': 'Retired', 'donations': 7370457, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Kevin McCarthy
M001199,0.9304840392327461,"{'industry': 'Retired', 'donations': 1428765, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Brian J. Mast
R000595,0.9476170566285719,"{'industry': 'Retired', 'donations': 13884962, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Marco Rubio
G000596,0.948244612912469,"{'industry': 'Retired', 'donations': 1375655, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Marjorie Taylor Greene
G000578,0.9698328779230393,"{'industry': 'Republican/Conservative', 'donations': 866405, 'score:': 1.0}","{'industry': 'Republican/Conservative', 'score': 1.0}",Matt Gaetz
